selection_key,current_th,current_en,source_th,comparison_status,impact_on_selection,review_note
act_rest_stretch,ควรพักเบรกเพื่อยืดเหยียดกล้ามเนื้อ,Take breaks to stretch muscles,ควรพักเบรกเพื่อยืดเหยียดกล้ามเนื้อ,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
act_spray_extension,ใช้ด้ามต่อหัวพ่น เพื่อลดการยกแขนสูงหรือเอื้อมไกล,Use an extension wand so the arm does not stay raised or overreached,ใช้ด้ามต่อหัวพ่น เพื่อลดการยกแขนสูงหรือเอื้อมไกล,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
act_transplant_low_stool,ใช้เก้าอี้เตี้ยหรือเบาะรองเข่า แทนการนั่งยองนาน ๆ,Use a low stool or knee pad instead of squatting for long periods,ใช้เก้าอี้เตี้ยหรือเบาะรองเข่า แทนการนั่งยองนาน ๆ,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
act_transplant_raise_bed,ยกถาดกล้าหรือพื้นที่ทำงานให้สูงขึ้น เพื่อลดการก้มหลังลึก,Raise seedling trays or work height to reduce deep bending,ยกถาดกล้าหรือพื้นที่ทำงานให้สูงขึ้น เพื่อลดการก้มหลังลึก,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
act_transplant_ref_high,ปรับปรุงทันที: ยกแปลงเพาะชำให้สูงระดับเอว ใช้อุปกรณ์นั่งยองหรือเก้าอี้เตี้ย และพักทุก 15-20 นาที,"Improve immediately: raise the seedling bed to waist level, use a low stool or squatting support, and rest every 15-20 minutes.",ปรับปรุงทันที: | ยกแปลงเพาะชำให้สูงระดับเอว | ใช้อุปกรณ์นั่งยองหรือเก้าอี้เตี้ย | พักทุก 15-20 นาที,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
act_transplant_ref_low,ท่าทางดีอยู่แล้ว ควรสลับยืนกับนั่งยองทุก 20 นาที และตรวจสอบความสูงของแปลงเพาะชำให้พอดีกับเอว,Posture is acceptable. Alternate standing and squatting every 20 minutes and check seedling-bed height near waist level.,ท่าทางดีอยู่แล้ว ควรสลับยืนกับนั่งยองทุก 20 นาที | ตรวจสอบความสูงของแปลงเพาะชำให้พอดีกับเอว,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
act_transplant_ref_medium,ลดการก้มโดยยกแปลงเพาะชำให้สูงขึ้น ใช้เบาะรองนั่งยองหรือเก้าอี้เตี้ย สลับท่าทุก 15 นาที และฝึกยกต้นกล้าโดยใช้ขา,"Raise the seedling bed to reduce bending, use a squat cushion or low stool, change posture every 15 minutes, and lift seedlings with the legs.",ลดการก้มโดยยกแปลงเพาะชำให้สูงขึ้น | ใช้เบาะรองนั่งยองหรือเก้าอี้เตี้ย | สลับท่าทุก 15 นาที และฝึกยกต้นกล้าโดยใช้ขา,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
act_transport_clear_path,จัดทางเดินให้เรียบและไม่มีสิ่งกีดขวางก่อนขนย้าย,Clear the path and keep the walking surface even before transport,จัดทางเดินให้เรียบและไม่มีสิ่งกีดขวางก่อนขนย้าย,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
act_transport_ref_high,ลดน้ำหนักกระสอบ ใช้เกวียนหรือรถเข็นล้อใหญ่ ปูพื้นกันลื่น จัดพัก 10-15 นาทีทุก 30 นาที และฝึกเทคนิคการยกที่ถูกต้องร่วมกับเพื่อน,"Reduce sack weight, use a wagon or large-wheel cart, add non-slip flooring, rest 10-15 minutes every 30 minutes, and practice team lifting technique.",ลดน้ำหนักกระสอบ | ใช้เกวียนหรือรถเข็นล้อใหญ่ ปูพื้นกันลื่น | จัดพัก 10-15 นาทีทุก 30 นาที และฝึกเทคนิคการยกที่ถูกต้องร่วมกับเพื่อน,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
act_transport_ref_low,ใช้รถเข็นทุกครั้ง ยกของโดยงอเข่า หลังตรง ไม่บิดตัว และสวมรองเท้ากันลื่น,"Use a cart every time, lift by bending the knees with a straight back, avoid twisting, and wear non-slip footwear.",ใช้รถเข็นทุกครั้ง | ยกของโดยงอเข่า หลังตรง ไม่บิดตัว และสวมรองเท้ากันลื่น,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
act_transport_ref_medium,ลดน้ำหนักกระสอบ ใช้รถเข็น ปรับปรุงทางเดิน และเปลี่ยนทิศทางโดยหมุนเท้าแทนการบิดเอว,"Reduce sack weight, use a cart, improve the path, and turn with the feet instead of twisting the waist.",ลดน้ำหนักกระสอบ | ใช้รถเข็น | ปรับปรุงทางเดิน | เปลี่ยนทิศทางโดยหมุนเท้าแทนการบิดเอว,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
act_transport_two_person,ให้คนช่วยยกเมื่อผลผลิตหนักเกินไป,Ask another person to help lift heavy produce when needed,ให้คนช่วยยกเมื่อผลผลิตหนักเกินไป,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
act_use_cart_distance,ใช้รถเข็นหรืออุปกรณ์ช่วยขนย้ายเมื่อต้องขนไกล,Use a cart or handling aid for long distance transport,ใช้รถเข็นหรืออุปกรณ์ช่วยขนย้ายเมื่อต้องขนไกล,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
act_use_legs,ใช้แรงจากขาในการออกแรง ไม่ใช่หลัง,"Use leg muscles, not back",ใช้แรงจากขาในการออกแรง ไม่ใช่หลัง,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
